split,relative_path,label,class_name,stem,official_label,local_cluster_label,group_id
test,colon_n/colonn1.jpeg,0,benign,colonn1,colon_n,25,274
test,colon_n/colonn1006.jpeg,0,benign,colonn1006,colon_n,66,315
test,colon_n/colonn1019.jpeg,0,benign,colonn1019,colon_n,173,422
test,colon_n/colonn1024.jpeg,0,benign,colonn1024,colon_n,197,446
test,colon_n/colonn103.jpeg,0,benign,colonn103,colon_n,73,322
test,colon_n/colonn1031.jpeg,0,benign,colonn1031,colon_n,132,381
test,colon_n/colonn104.jpeg,0,benign,colonn104,colon_n,19,268
test,colon_n/colonn1041.jpeg,0,benign,colonn1041,colon_n,19,268
test,colon_n/colonn1042.jpeg,0,benign,colonn1042,colon_n,69,318
test,colon_n/colonn1045.jpeg,0,benign,colonn1045,colon_n,127,376
test,colon_n/colonn1046.jpeg,0,benign,colonn1046,colon_n,181,430
test,colon_n/colonn1080.jpeg,0,benign,colonn1080,colon_n,6,255
test,colon_n/colonn1086.jpeg,0,benign,colonn1086,colon_n,132,381
test,colon_n/colonn1087.jpeg,0,benign,colonn1087,colon_n,132,381
test,colon_n/colonn109.jpeg,0,benign,colonn109,colon_n,25,274
test,colon_n/colonn1099.jpeg,0,benign,colonn1099,colon_n,97,346
test,colon_n/colonn1100.jpeg,0,benign,colonn1100,colon_n,73,322
test,colon_n/colonn1102.jpeg,0,benign,colonn1102,colon_n,19,268
test,colon_n/colonn1103.jpeg,0,benign,colonn1103,colon_n,127,376
test,colon_n/colonn1111.jpeg,0,benign,colonn1111,colon_n,182,431
test,colon_n/colonn1112.jpeg,0,benign,colonn1112,colon_n,182,431
test,colon_n/colonn1119.jpeg,0,benign,colonn1119,colon_n,146,395
test,colon_n/colonn1122.jpeg,0,benign,colonn1122,colon_n,150,399
test,colon_n/colonn1123.jpeg,0,benign,colonn1123,colon_n,150,399
test,colon_n/colonn1133.jpeg,0,benign,colonn1133,colon_n,108,357
test,colon_n/colonn1153.jpeg,0,benign,colonn1153,colon_n,200,449
test,colon_n/colonn1156.jpeg,0,benign,colonn1156,colon_n,19,268
test,colon_n/colonn1158.jpeg,0,benign,colonn1158,colon_n,181,430
test,colon_n/colonn1184.jpeg,0,benign,colonn1184,colon_n,66,315
test,colon_n/colonn1190.jpeg,0,benign,colonn1190,colon_n,108,357
test,colon_n/colonn1195.jpeg,0,benign,colonn1195,colon_n,159,408
test,colon_n/colonn1202.jpeg,0,benign,colonn1202,colon_n,186,435
test,colon_n/colonn121.jpeg,0,benign,colonn121,colon_n,140,389
test,colon_n/colonn1211.jpeg,0,benign,colonn1211,colon_n,19,268
test,colon_n/colonn1217.jpeg,0,benign,colonn1217,colon_n,84,333
test,colon_n/colonn1218.jpeg,0,benign,colonn1218,colon_n,25,274
test,colon_n/colonn1219.jpeg,0,benign,colonn1219,colon_n,25,274
test,colon_n/colonn1227.jpeg,0,benign,colonn1227,colon_n,96,345
test,colon_n/colonn1228.jpeg,0,benign,colonn1228,colon_n,96,345
test,colon_n/colonn1230.jpeg,0,benign,colonn1230,colon_n,150,399
test,colon_n/colonn1245.jpeg,0,benign,colonn1245,colon_n,60,309
test,colon_n/colonn1249.jpeg,0,benign,colonn1249,colon_n,55,304
test,colon_n/colonn1250.jpeg,0,benign,colonn1250,colon_n,197,446
test,colon_n/colonn1260.jpeg,0,benign,colonn1260,colon_n,132,381
test,colon_n/colonn1284.jpeg,0,benign,colonn1284,colon_n,15,264
test,colon_n/colonn130.jpeg,0,benign,colonn130,colon_n,150,399
test,colon_n/colonn1300.jpeg,0,benign,colonn1300,colon_n,55,304
test,colon_n/colonn1304.jpeg,0,benign,colonn1304,colon_n,132,381
test,colon_n/colonn1307.jpeg,0,benign,colonn1307,colon_n,137,386
test,colon_n/colonn1315.jpeg,0,benign,colonn1315,colon_n,73,322
test,colon_n/colonn1316.jpeg,0,benign,colonn1316,colon_n,200,449
test,colon_n/colonn1322.jpeg,0,benign,colonn1322,colon_n,127,376
test,colon_n/colonn1326.jpeg,0,benign,colonn1326,colon_n,117,366
test,colon_n/colonn1336.jpeg,0,benign,colonn1336,colon_n,231,480
test,colon_n/colonn1339.jpeg,0,benign,colonn1339,colon_n,96,345
test,colon_n/colonn1343.jpeg,0,benign,colonn1343,colon_n,15,264
test,colon_n/colonn1344.jpeg,0,benign,colonn1344,colon_n,150,399
test,colon_n/colonn1347.jpeg,0,benign,colonn1347,colon_n,229,478
test,colon_n/colonn1366.jpeg,0,benign,colonn1366,colon_n,55,304
test,colon_n/colonn1379.jpeg,0,benign,colonn1379,colon_n,19,268
test,colon_n/colonn1380.jpeg,0,benign,colonn1380,colon_n,69,318
test,colon_n/colonn1384.jpeg,0,benign,colonn1384,colon_n,127,376
test,colon_n/colonn1386.jpeg,0,benign,colonn1386,colon_n,181,430
test,colon_n/colonn1390.jpeg,0,benign,colonn1390,colon_n,25,274
test,colon_n/colonn140.jpeg,0,benign,colonn140,colon_n,60,309
test,colon_n/colonn1400.jpeg,0,benign,colonn1400,colon_n,18,267
test,colon_n/colonn1401.jpeg,0,benign,colonn1401,colon_n,140,389
test,colon_n/colonn1410.jpeg,0,benign,colonn1410,colon_n,229,478
test,colon_n/colonn1411.jpeg,0,benign,colonn1411,colon_n,229,478
test,colon_n/colonn143.jpeg,0,benign,colonn143,colon_n,55,304
test,colon_n/colonn1431.jpeg,0,benign,colonn1431,colon_n,137,386
test,colon_n/colonn1447.jpeg,0,benign,colonn1447,colon_n,231,480
test,colon_n/colonn1448.jpeg,0,benign,colonn1448,colon_n,231,480
test,colon_n/colonn1467.jpeg,0,benign,colonn1467,colon_n,108,357
