case_id,patches,tumour,non_tumour,tumour_frac,group
TCGA-AD-A5EJ,58,55,3,0.9482758620689655,fold0
TCGA-AG-3882,122,100,22,0.819672131147541,fold0
TCGA-CA-5796,1229,609,620,0.4955248169243287,fold0
TCGA-F4-6704,132,125,7,0.946969696969697,fold0
TCGA-G4-6315,1794,805,989,0.44871794871794873,fold0
TCGA-SS-A7HO,1825,1791,34,0.9813698630136987,fold0
TCGA-T9-A92H,475,0,475,0.0,fold0
TCGA-4T-AA8H,472,401,71,0.8495762711864406,fold1
TCGA-AD-6548,28,11,17,0.39285714285714285,fold1
TCGA-CA-6715,682,272,410,0.39882697947214074,fold1
TCGA-CA-6718,707,528,179,0.7468175388967468,fold1
TCGA-NH-A5IV,1030,896,134,0.8699029126213592,fold1
TCGA-QG-A5Z2,1731,550,1181,0.317735413056037,fold1
TCGA-QL-A97D,908,840,68,0.9251101321585903,fold1
TCGA-AD-6889,151,135,16,0.8940397350993378,fold2
TCGA-AY-A54L,167,120,47,0.718562874251497,fold2
TCGA-AZ-6608,768,506,262,0.6588541666666666,fold2
TCGA-F4-6856,764,281,483,0.36780104712041883,fold2
TCGA-G4-6322,2422,714,1708,0.2947976878612717,fold2
TCGA-NH-A6GC,175,168,7,0.96,fold2
TCGA-A6-A56B,244,69,175,0.2827868852459016,fold3
TCGA-AG-4015,153,113,40,0.738562091503268,fold3
TCGA-CK-6751,785,298,487,0.3796178343949045,fold3
TCGA-CM-4748,262,262,0,1.0,fold3
TCGA-D5-6538,807,734,73,0.909541511771995,fold3
TCGA-DM-A0XF,428,294,134,0.6869158878504673,fold3
TCGA-4N-A93T,207,172,35,0.8309178743961353,fold4
TCGA-5M-AAT6,403,363,40,0.9007444168734491,fold4
TCGA-AG-4008,42,18,24,0.42857142857142855,fold4
TCGA-AZ-5407,362,295,67,0.8149171270718232,fold4
TCGA-DM-A280,623,308,315,0.4943820224719101,fold4
TCGA-WS-AB45,1845,1729,116,0.9371273712737127,fold4
TCGA-3L-AA1B,381,214,167,0.5616797900262467,test
TCGA-5M-AAT4,194,194,0,1.0,test
TCGA-A6-2677,39,39,0,1.0,test
TCGA-AU-6004,35,33,2,0.9428571428571428,test
TCGA-CK-5915,2093,1113,980,0.5317725752508361,test
TCGA-D5-6540,948,200,748,0.2109704641350211,test
TCGA-F4-6459,506,453,53,0.8952569169960475,test
TCGA-NH-A6GB,1251,1141,110,0.9120703437250199,test
